step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,13,14,14,14,stay,stay,0,0
2,12,13,13,13,left,left,0,0
3,11,12,12,12,left,left,0,0
4,10,11,11,11,left,left,0,0
5,9,10,10,10,left,left,0,0
6,8,9,9,9,left,left,0,0
7,7,8,8,8,left,left,0,0
8,6,7,7,7,left,left,0,0
9,5,6,6,6,left,left,0,0
10,4,5,5,5,left,left,0,0
11,3,4,4,4,left,left,0,0
12,2,3,5,3,right,left,0,0
13,1,2,4,2,left,left,0,0
14,0,1,3,1,left,left,0,0
15,1,0,2,0,left,left,0,0
16,2,1,1,0,left,stay,0,0
17,3,2,1,1,stay,right,0,0
18,4,3,2,2,right,right,0,0
19,5,4,3,3,right,right,0,0
20,6,5,4,4,right,right,0,0
21,7,6,5,5,right,right,0,0
22,8,7,6,6,right,right,0,0
23,9,8,7,7,right,right,0,0
24,10,9,8,8,right,right,0,0
25,11,10,9,9,right,right,0,0
26,12,11,10,10,right,right,0,0
27,13,12,9,11,left,right,0,0
28,14,13,10,12,right,right,0,0
29,15,14,11,13,right,right,0,0
30,16,15,12,14,right,right,0,0
31,17,16,13,15,right,right,0,0
32,18,17,14,16,right,right,0,0
33,19,18,15,17,right,right,0,0
34,20,19,16,18,right,right,0,0
35,21,20,17,19,right,right,0,0
36,22,21,18,20,right,right,0,0
37,23,22,19,21,right,right,0,0
38,24,23,20,22,right,right,0,0
39,25,24,21,23,right,right,0,0
40,26,25,22,24,right,right,0,0
41,27,26,23,25,right,right,0,0
42,28,27,24,26,right,right,0,0
43,29,28,25,27,right,right,0,0
44,28,29,26,28,right,right,0,0
45,1,16,13,13,left,left,0,1
46,0,17,12,12,left,left,0,1
47,1,18,11,11,left,left,0,1
48,2,19,10,10,left,left,0,1
49,3,20,9,9,left,left,0,1
50,4,21,8,8,left,left,0,1
51,5,22,7,7,left,left,0,1
52,6,23,6,6,left,left,0,1
53,7,24,6,6,stay,stay,0,1
54,8,25,6,6,stay,stay,0,1
55,9,26,7,7,right,right,0,1
56,10,27,8,8,right,right,0,1
57,11,28,9,7,right,left,0,1
58,12,29,10,8,right,right,0,1
59,12,16,13,13,left,left,0,2
60,11,17,12,12,left,left,0,2
61,10,18,11,11,left,left,0,2
62,9,19,10,10,left,left,0,2
63,8,20,9,9,left,left,0,2
64,7,21,8,8,left,left,0,2
65,6,22,7,7,left,left,0,2
66,5,23,6,6,left,left,0,2
67,4,24,5,5,left,left,0,2
68,3,25,4,4,left,left,0,2
69,2,26,3,3,left,left,0,2
70,1,27,2,2,left,left,0,2
71,0,28,1,1,left,left,0,2
72,1,29,0,0,left,left,0,2
73,2,28,0,1,stay,right,0,2
74,3,27,1,1,right,stay,0,2
75,4,26,2,2,right,right,0,2
76,5,25,3,3,right,right,0,2
77,6,24,4,4,right,right,0,2
78,7,23,5,3,right,left,0,2
79,8,22,6,4,right,right,0,2
80,9,21,7,5,right,right,0,2
81,10,20,8,6,right,right,0,2
82,11,19,9,7,right,right,0,2
83,12,18,10,8,right,right,0,2
84,13,17,9,9,left,right,0,2
85,14,16,10,10,right,right,0,2
86,15,15,11,11,right,right,0,2
87,16,14,12,12,right,right,0,2
88,17,13,13,13,right,right,0,2
89,18,12,14,14,right,right,0,2
90,19,11,15,15,right,right,0,2
91,20,10,16,16,right,right,0,2
92,21,9,17,17,right,right,0,2
93,22,8,18,18,right,right,0,2
94,23,7,19,19,right,right,0,2
95,24,6,20,20,right,right,0,2
96,25,5,19,21,left,right,0,2
97,26,4,20,22,right,right,0,2
98,27,3,21,23,right,right,0,2
99,28,2,22,24,right,right,0,2
100,29,1,23,25,right,right,0,2
101,28,0,24,26,right,right,0,2
102,21,16,15,15,right,right,1,2
103,22,17,16,16,right,right,1,2
104,23,18,17,17,right,right,1,2
105,24,19,18,18,right,right,1,2
106,25,20,19,19,right,right,1,2
107,26,21,20,20,right,right,1,2
108,27,22,21,21,right,right,1,2
109,28,23,21,22,stay,right,1,2
110,29,24,22,23,right,right,1,2
111,28,25,23,24,right,right,1,2
112,27,26,24,25,right,right,1,2
113,26,27,25,26,right,right,1,2
114,25,28,25,26,stay,stay,1,2
115,24,29,25,25,stay,left,1,2
116,26,14,15,15,right,right,1,3
117,27,13,16,16,right,right,1,3
118,28,12,16,17,stay,right,1,3
119,29,11,17,18,right,right,1,3
120,28,10,18,18,right,stay,1,3
121,27,9,19,19,right,right,1,3
122,26,8,20,20,right,right,1,3
123,25,7,21,21,right,right,1,3
124,24,6,22,22,right,right,1,3
125,23,5,23,23,right,right,1,3
126,22,4,23,23,stay,stay,1,3
127,21,3,22,22,left,left,1,3
128,20,2,21,23,left,right,1,3
129,19,1,20,22,left,left,1,3
130,18,0,19,21,left,left,1,3
131,15,16,14,14,stay,stay,2,3
132,16,17,15,14,right,stay,2,3
133,17,18,15,15,stay,right,2,3
134,18,19,16,16,right,right,2,3
135,19,20,17,17,right,right,2,3
136,20,21,18,18,right,right,2,3
137,21,22,19,19,right,right,2,3
138,22,23,20,20,right,right,2,3
139,23,24,21,21,right,right,2,3
140,24,25,22,22,right,right,2,3
141,25,26,21,23,left,right,2,3
142,26,27,22,24,right,right,2,3
143,27,28,23,25,right,right,2,3
144,28,29,23,26,stay,right,2,3
145,16,16,15,15,right,right,2,4
146,15,17,15,15,stay,stay,2,4
147,14,18,15,15,stay,stay,2,4
148,13,19,14,14,left,left,2,4
149,12,20,13,13,left,left,2,4
150,11,21,13,12,stay,left,2,4
151,10,22,12,11,left,left,2,4
152,9,23,11,10,left,left,2,4
153,8,24,10,9,left,left,2,4
154,7,25,9,8,left,left,2,4
155,6,26,8,7,left,left,2,4
156,5,27,7,6,left,left,2,4
157,4,28,6,5,left,left,2,4
158,3,29,5,4,left,left,2,4
